# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
30743.047,-1.2692,0.0849,0.1532
30743.076,-1.2692,0.0836,0.1508
30743.105,-1.2692,0.0849,0.1508
30743.137,-1.2705,0.0836,0.1508
30743.166,-1.2692,0.0861,0.1532
30743.195,-1.2692,0.0836,0.1557
30743.227,-1.2717,0.0849,0.1520
30743.256,-1.2802,0.0836,0.1520
30743.285,-1.2705,0.0873,0.1508
30743.316,-1.2680,0.0812,0.1532
30743.346,-1.2680,0.0861,0.1520
30743.377,-1.2692,0.0836,0.1532
30743.406,-1.2692,0.0836,0.1520
30743.436,-1.2717,0.0849,0.1520
30743.467,-1.2680,0.0836,0.1520
30743.496,-1.2729,0.0836,0.1520
30743.525,-1.2692,0.0849,0.1532
30743.557,-1.2692,0.0836,0.1520
30743.586,-1.2705,0.0861,0.1520
30743.615,-1.2680,0.0849,0.1520
30743.646,-1.2692,0.0836,0.1532
30743.676,-1.2705,0.0849,0.1508
30743.705,-1.2692,0.0824,0.1520
30743.736,-1.2692,0.0873,0.1508
30743.766,-1.2692,0.0824,0.1508
30743.797,-1.2705,0.0836,0.1532
30743.826,-1.2692,0.0849,0.1520
30743.855,-1.2705,0.0836,0.1496
30743.887,-1.2680,0.0812,0.1508
30743.916,-1.2705,0.0849,0.1532
30743.945,-1.2717,0.0861,0.1520
30743.977,-1.2692,0.0824,0.1520
30744.006,-1.2705,0.0824,0.1508
30744.035,-1.2680,0.0824,0.1508
30744.066,-1.2692,0.0824,0.1508
30744.096,-1.2680,0.0824,0.1508
30744.127,-1.2705,0.0836,0.1496
30744.156,-1.2705,0.0849,0.1520
30744.186,-1.2705,0.0836,0.1496
30744.217,-1.2680,0.0849,0.1545
30744.246,-1.2692,0.0861,0.1520
30744.275,-1.2692,0.0861,0.1532
30744.307,-1.2680,0.0836,0.1508
30744.336,-1.2717,0.0861,0.1532
30744.365,-1.2705,0.0861,0.1545
30744.396,-1.2705,0.0836,0.1520
30744.426,-1.2668,0.0873,0.1520
30744.455,-1.2705,0.0836,0.1520
30744.486,-1.2705,0.0861,0.1532
30744.516,-1.2692,0.0849,0.1532
30744.547,-1.2692,0.0861,0.1532
30744.576,-1.2729,0.0849,0.1520
30744.605,-1.2705,0.0836,0.1484
30744.637,-1.2692,0.0849,0.1532
30744.666,-1.2692,0.0849,0.1520
30744.695,-1.2692,0.0897,0.1484
30744.727,-1.2778,0.0861,0.1532
30744.756,-1.2692,0.0873,0.1557
30744.785,-1.2668,0.0849,0.1520
30744.816,-1.2692,0.0873,0.1520
30744.846,-1.2643,0.0836,0.1532
30744.877,-1.2692,0.0824,0.1496
30744.906,-1.2717,0.0824,0.1520
30744.936,-1.2705,0.0812,0.1508
30744.967,-1.2717,0.0824,0.1496
30744.996,-1.2692,0.0861,0.1532
30745.025,-1.2717,0.0836,0.1532
30745.057,-1.2705,0.0861,0.1532
30745.086,-1.2692,0.0873,0.1545
30745.115,-1.2680,0.0849,0.1545
30745.146,-1.2705,0.0836,0.1496
30745.176,-1.2692,0.0836,0.1520
30745.205,-1.2668,0.0861,0.1557
30745.236,-1.2692,0.0836,0.1520
30745.266,-1.2692,0.0824,0.1520
30745.297,-1.2692,0.0849,0.1557
30745.326,-1.2692,0.0824,0.1508
30745.355,-1.2705,0.0849,0.1532
30745.387,-1.2692,0.0861,0.1545
30745.416,-1.2692,0.0873,0.1557
30745.445,-1.2692,0.0873,0.1532
30745.477,-1.2692,0.0861,0.1520
30745.506,-1.2705,0.0824,0.1496
30745.535,-1.2705,0.0836,0.1508
30745.566,-1.2705,0.0836,0.1508
30745.596,-1.2692,0.0849,0.1520
30745.627,-1.2692,0.0836,0.1508
30745.656,-1.2680,0.0861,0.1545
30745.686,-1.2705,0.0861,0.1520
30745.717,-1.2692,0.0861,0.1532
30745.746,-1.2692,0.0849,0.1520
30745.775,-1.2692,0.0849,0.1532
30745.807,-1.2680,0.0849,0.1520
30745.836,-1.2705,0.0861,0.1532
30745.865,-1.2692,0.0873,0.1532
30745.896,-1.2680,0.0824,0.1508
30745.926,-1.2692,0.0836,0.1508
30745.955,-1.2705,0.0836,0.1520
30745.986,-1.2692,0.0836,0.1508
30746.016,-1.2705,0.0836,0.1496
30746.047,-1.2692,0.0836,0.1508
30746.076,-1.2692,0.0836,0.1520
30746.105,-1.2680,0.0849,0.1520
30746.137,-1.2680,0.0849,0.1520
30746.166,-1.2692,0.0824,0.1520
30746.195,-1.2692,0.0678,0.1508
30746.227,-1.2705,0.0861,0.1532
30746.256,-1.2692,0.0849,0.1508
30746.285,-1.2680,0.0836,0.1520
30746.316,-1.2692,0.0885,0.1532
30746.346,-1.2705,0.0849,0.1508
30746.377,-1.2692,0.0849,0.1520
30746.406,-1.2705,0.0836,0.1520
30746.436,-1.2705,0.0824,0.1508
30746.467,-1.2680,0.0861,0.1508
30746.496,-1.2692,0.0861,0.1532
30746.525,-1.2692,0.0812,0.1435
30746.557,-1.2680,0.0861,0.1508
30746.586,-1.2692,0.0873,0.1569
30746.615,-1.2692,0.0592,0.1300
30746.646,-1.2705,0.0824,0.1508
30746.676,-1.2668,0.0861,0.1532
30746.705,-1.2717,0.0824,0.1520
30746.736,-1.2705,0.0849,0.1508
30746.766,-1.2692,0.0849,0.1508
30746.797,-1.2668,0.0873,0.1532
30746.826,-1.2692,0.0861,0.1532
30746.855,-1.2692,0.0873,0.1520
30746.887,-1.2692,0.0849,0.1532
30746.916,-1.2692,0.0836,0.1520
30746.945,-1.2692,0.0849,0.1508
30746.977,-1.2680,0.0849,0.1496
30747.006,-1.2680,0.0824,0.1508
30747.035,-1.2705,0.0836,0.1520
30747.066,-1.2717,0.0849,0.1508
30747.096,-1.2692,0.0861,0.1545
30747.127,-1.2680,0.0849,0.1508
30747.156,-1.2705,0.0873,0.1520
30747.186,-1.2705,0.0824,0.1520
30747.217,-1.2692,0.0849,0.1545
30747.246,-1.2668,0.0861,0.1520
30747.275,-1.2692,0.0800,0.1532
30747.307,-1.2692,0.0836,0.1484
30747.336,-1.2717,0.0812,0.1484
30747.365,-1.2680,0.0836,0.1520
30747.396,-1.2705,0.0836,0.1508
30747.426,-1.2705,0.0824,0.1520
30747.455,-1.2692,0.0861,0.1520
30747.486,-1.2680,0.0849,0.1532
30747.516,-1.2692,0.0849,0.1532
30747.547,-1.2680,0.0873,0.1545
30747.576,-1.2717,0.0849,0.1520
30747.605,-1.2692,0.0849,0.1508
30747.637,-1.2692,0.0849,0.1508
30747.666,-1.2692,0.0849,0.1520
30747.695,-1.2705,0.0836,0.1508
30747.727,-1.2692,0.0849,0.1532
30747.756,-1.2692,0.0849,0.1545
30747.785,-1.2668,0.0873,0.1545
30747.816,-1.2680,0.0873,0.1545
30747.846,-1.2692,0.0849,0.1508
30747.877,-1.2680,0.0861,0.1545
30747.906,-1.2692,0.0885,0.1532
30747.936,-1.2692,0.0812,0.1496
30747.967,-1.2692,0.0836,0.1557
30747.996,-1.2692,0.0849,0.1508
30748.025,-1.2705,0.0836,0.1496
30748.057,-1.2668,0.0836,0.1532
30748.086,-1.2692,0.0849,0.1520
30748.115,-1.2705,0.0836,0.1545
30748.146,-1.2680,0.0861,0.1532
30748.176,-1.2766,0.0861,0.1532
30748.205,-1.2692,0.0849,0.1532
30748.236,-1.2692,0.0836,0.1496
30748.266,-1.2643,0.0824,0.1520
30748.297,-1.2692,0.0861,0.1520
30748.326,-1.2692,0.0861,0.1508
30748.355,-1.2705,0.0836,0.1508
30748.387,-1.2692,0.0849,0.1508
30748.416,-1.2680,0.0849,0.1545
30748.445,-1.2705,0.0861,0.1532
30748.477,-1.2680,0.0849,0.1520
30748.506,-1.2705,0.0849,0.1532
30748.535,-1.2692,0.0861,0.1532
30748.566,-1.2692,0.0836,0.1508
30748.596,-1.2692,0.0849,0.1520
30748.627,-1.2680,0.0824,0.1520
30748.656,-1.2692,0.0824,0.1520
30748.686,-1.2717,0.0861,0.1532
30748.717,-1.2692,0.0849,0.1520
30748.746,-1.2680,0.0861,0.1520
30748.775,-1.2692,0.0861,0.1545
30748.807,-1.2705,0.0849,0.1520
30748.836,-1.2680,0.0849,0.1508
30748.865,-1.2705,0.0849,0.1545
30748.896,-1.2692,0.0861,0.1532
30748.926,-1.2692,0.0849,0.1520
30748.955,-1.2692,0.0849,0.1520
30748.986,-1.2692,0.0836,0.1520
30749.016,-1.2692,0.0861,0.1520
30749.047,-1.2692,0.0873,0.1520
30749.076,-1.2705,0.0836,0.1532
30749.105,-1.2692,0.0824,0.1508
30749.137,-1.2680,0.0849,0.1508
30749.166,-1.2692,0.0824,0.1532
30749.195,-1.2705,0.0861,0.1520
30749.227,-1.2692,0.0849,0.1520
30749.256,-1.2692,0.0849,0.1520
30749.285,-1.2680,0.0836,0.1532
30749.316,-1.2692,0.0849,0.1520
30749.346,-1.2692,0.0836,0.1532
30749.377,-1.2680,0.0836,0.1520
30749.406,-1.2705,0.0836,0.1508
30749.436,-1.2692,0.0824,0.1508
30749.467,-1.2692,0.0836,0.1520
30749.496,-1.2692,0.0849,0.1496
30749.525,-1.2692,0.0836,0.1532
30749.557,-1.2692,0.0861,0.1520
30749.586,-1.2692,0.0873,0.1532
30749.615,-1.2692,0.0861,0.1545
30749.646,-1.2692,0.0836,0.1532
30749.676,-1.2680,0.0861,0.1520
30749.705,-1.2705,0.0861,0.1532
30749.736,-1.2680,0.0849,0.1532
30749.766,-1.2680,0.0800,0.1569
30749.797,-1.2692,0.0836,0.1532
30749.826,-1.2717,0.0836,0.1496
30749.855,-1.2692,0.0849,0.1642
30749.887,-1.2692,0.0861,0.1520
30749.916,-1.2717,0.0861,0.1520
30749.945,-1.2705,0.0849,0.1532
30749.977,-1.2692,0.0861,0.1520
30750.006,-1.2656,0.0861,0.1520
30750.035,-1.2705,0.0861,0.1508
30750.066,-1.2692,0.0836,0.1520
30750.096,-1.2705,0.0824,0.1508
30750.127,-1.2692,0.0824,0.1496
30750.156,-1.2705,0.0861,0.1508
30750.186,-1.2705,0.0836,0.1508
30750.217,-1.2705,0.0861,0.1532
30750.246,-1.2705,0.0849,0.1520
30750.275,-1.2680,0.0836,0.1545
30750.307,-1.2680,0.0873,0.1532
30750.336,-1.2705,0.0812,0.1545
30750.365,-1.2692,0.0849,0.1545
30750.396,-1.2705,0.0861,0.1508
30750.426,-1.2692,0.0836,0.1496
