# Chua circuit — regime 2: limit_cycle
time_ms,x_V,y_V,z_V
121421.453,-1.0470,-0.2118,-0.1508
121421.508,-1.9164,-0.0385,0.2924
121421.555,-1.5244,0.3938,0.4927
121421.602,-0.6294,0.2595,0.0714
121421.656,-0.9457,-0.1862,-0.1679
121421.703,-1.8748,-0.0873,0.2399
121421.750,-1.6136,0.3694,0.5110
121421.805,-0.6832,0.3059,0.1264
121421.859,-0.8468,-0.1520,-0.1764
121421.906,-1.8077,-0.1288,0.1825
121421.953,-1.7051,0.3315,0.5110
121422.000,-0.7515,0.3425,0.1777
121422.055,-0.7625,-0.1166,-0.1789
121422.102,-1.7344,-0.1654,0.1471
121422.148,-1.7589,0.3095,0.5134
121422.211,-0.7991,0.3669,0.2155
121422.258,-0.7100,-0.0861,-0.1728
121422.305,-1.6770,-0.1850,0.0934
121422.352,-1.8272,0.2643,0.5012
121422.398,-0.8883,0.3889,0.2643
121422.453,-0.6453,-0.0421,-0.1581
121422.508,-1.5830,-0.2070,0.0421
121422.555,-1.8871,0.2179,0.4866
121422.609,-0.9823,0.4145,0.3181
121422.656,-0.5940,0.0079,-0.1374
121422.703,-1.4829,-0.2241,-0.0055
121422.750,-1.9249,0.1667,0.4585
121422.797,-1.0482,0.4219,0.3449
121422.859,-0.5794,0.0372,-0.1190
121422.906,-1.4170,-0.2338,-0.0360
121422.953,-1.9444,0.1337,0.4402
121423.008,-1.1545,0.4341,0.3950
121423.055,-0.5598,0.0910,-0.0824
121423.102,-1.3095,-0.2326,-0.0751
121423.148,-1.9579,0.0836,0.4048
121423.203,-1.2619,0.4316,0.4292
121423.258,-0.5623,0.1398,-0.0470
121423.305,-1.2009,-0.2192,-0.0934
121423.352,-1.9518,0.0287,0.3596
121423.406,-1.3694,0.4194,0.4658
121423.453,-0.5855,0.1764,-0.0153
121423.508,-1.1264,-0.2228,-0.1447
121423.555,-1.9383,0.0043,0.3364
121423.602,-1.4219,0.4158,0.4780
121423.656,-0.5952,0.2179,0.0201
121423.703,-1.0324,-0.2045,-0.1569
121423.750,-1.9090,-0.0482,0.2643
121423.805,-1.5317,0.3926,0.4963
121423.859,-0.6392,0.2692,0.0800
121423.906,-0.9298,-0.1801,-0.1691
121423.953,-1.8626,-0.0946,0.2350
121424.000,-1.6258,0.3645,0.5134
121424.055,-0.6905,0.3107,0.1361
121424.102,-0.8346,-0.1471,-0.1764
121424.148,-1.8211,-0.1288,0.1886
121424.211,-1.6905,0.3413,0.5098
121424.258,-0.7357,0.3400,0.1679
121424.305,-0.7759,-0.1178,-0.1777
121424.352,-1.7466,-0.1581,0.1386
121424.398,-1.7772,0.3022,0.5110
121424.453,-0.8138,0.3730,0.2253
121424.508,-0.6990,-0.0800,-0.1716
121424.555,-1.6612,-0.1911,0.0824
121424.609,-1.8407,0.2546,0.5195
121424.656,-0.9078,0.3962,0.2753
121424.703,-0.6355,-0.0348,-0.1545
121424.750,-1.5635,-0.2118,0.0311
121424.797,-1.8956,0.2192,0.4866
121424.859,-0.9835,0.4182,0.3205
121424.906,-0.5952,0.0104,-0.1349
121424.953,-1.4768,-0.2253,-0.0092
121425.008,-1.9286,0.1642,0.4560
121425.055,-1.0946,0.4280,0.3669
121425.102,-0.5684,0.0641,-0.1032
121425.148,-1.3669,-0.2326,-0.0531
121425.203,-1.9505,0.1105,0.4243
121425.258,-1.2057,0.4292,0.4096
121425.305,-0.5610,0.1203,-0.0641
121425.352,-1.2509,-0.2326,-0.0971
121425.406,-1.9554,0.0556,0.3803
121425.453,-1.3205,0.4280,0.4365
121425.508,-0.5672,0.1532,-0.0372
121425.555,-1.1752,-0.2253,-0.1203
121425.602,-1.9444,0.0201,0.3498
121425.656,-1.3938,0.4206,0.4731
121425.703,-0.5879,0.2082,0.0140
121425.750,-1.0629,-0.2082,-0.1459
121425.805,-1.9200,-0.0348,0.2973
121425.859,-1.5037,0.3987,0.4902
121425.906,-0.6245,0.2558,0.0641
121425.953,-0.9542,-0.1874,-0.1679
121426.000,-1.8773,-0.0824,0.2460
121426.055,-1.6038,0.3706,0.5061
121426.102,-0.6783,0.3022,0.1190
121426.148,-0.8846,-0.1667,-0.1728
121426.211,-1.8346,-0.1142,0.2057
121426.258,-1.6685,0.3474,0.5110
121426.305,-0.7210,0.3315,0.1581
121426.352,-0.7930,-0.1288,-0.1789
121426.398,-1.7625,-0.1532,0.1471
121426.453,-1.7552,0.3010,0.4963
121426.508,-0.8004,0.3669,0.2131
121426.555,-0.7112,-0.0861,-0.1740
121426.609,-1.6758,-0.1838,0.0922
121426.656,-1.8309,0.2643,0.5024
121426.703,-0.8883,0.3962,0.2717
121426.750,-0.6441,-0.0397,-0.1581
121426.797,-1.5781,-0.1996,0.0592
121426.859,-1.8687,0.2314,0.4915
121426.906,-0.9567,0.4084,0.3046
121426.953,-0.6062,-0.0043,-0.1435
121427.008,-1.5110,-0.2192,0.0055
121427.055,-1.9176,0.1801,0.4683
121427.102,-1.0641,0.4255,0.3559
121427.148,-0.5708,0.0495,-0.1142
121427.203,-1.3974,-0.2338,-0.0446
121427.258,-1.9457,0.1227,0.4304
121427.305,-1.1764,0.4304,0.3974
121427.352,-0.5610,0.1007,-0.0788
121427.406,-1.2839,-0.2350,-0.0849
121427.453,-1.9554,0.0678,0.3913
121427.508,-1.2497,0.4328,0.4267
121427.555,-0.5635,0.1361,-0.0495
121427.602,-1.2082,-0.2302,-0.1105
121427.656,-1.9530,0.0348,0.3620
121427.703,-1.3596,0.4243,0.4597
121427.750,-0.5830,0.1874,-0.0055
121427.805,-1.0983,-0.2167,-0.1398
121427.859,-1.9298,-0.0165,0.3156
121427.906,-1.4658,0.4060,0.4866
121427.953,-0.6099,0.2375,0.0458
121428.000,-0.9896,-0.1947,-0.1593
121428.055,-1.8944,-0.0641,0.2643
121428.102,-1.5684,0.3840,0.5049
121428.148,-0.6526,0.2692,0.0788
121428.211,-0.9274,-0.1777,-0.1703
121428.258,-1.8602,-0.0971,0.2289
121428.305,-1.6306,0.3620,0.5085
121428.352,-0.6929,0.3132,0.1337
121428.398,-0.8309,-0.1471,-0.1777
121428.453,-1.7967,-0.1361,0.1740
121428.508,-1.7186,0.3278,0.5159
121428.555,-0.7625,0.3523,0.1874
121428.609,-0.7466,-0.1081,-0.1752
121428.656,-1.7186,-0.1703,0.1190
121428.703,-1.7943,0.2875,0.5061
121428.750,-0.8455,0.3791,0.2411
121428.797,-0.6844,-0.0653,-0.1716
121428.859,-1.6612,-0.1874,0.0861
121428.906,-1.8382,0.2582,0.5012
121428.953,-0.9017,0.3999,0.2778
121429.008,-0.6331,-0.0336,-0.1545
121429.055,-1.5659,-0.2082,0.0324
121429.102,-1.8944,0.2143,0.4805
121429.148,-1.0006,0.4158,0.3254
121429.203,-0.5904,0.0153,-0.1337
121429.258,-1.4658,-0.2277,-0.0165
121429.305,-1.9310,0.1581,0.4585
121429.352,-1.0983,0.4316,0.3742
121429.406,-0.5659,0.0690,-0.1007
121429.453,-1.3559,-0.2363,-0.0592
121429.508,-1.9444,0.1190,0.4255
121429.555,-1.1752,0.4292,0.3974
121429.602,-0.5623,0.1007,-0.0751
121429.656,-1.2888,-0.2350,-0.0873
121429.703,-1.9579,0.0751,0.3950
121429.750,-1.2827,0.4304,0.4377
